"MB QR","ASIN","ORDER CODE","SKU USA","FNSKU USA","Nombre","SKU SPAIN","FNSKU SPAIN","SKU UK","FNSKU UK","MB Packing","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-2M5P-30MB","B07GVNTVJR","BTPLCULCU-0DDF-2M5P","BTPLCULCU-0DDF-2M5P","X001VKDGR3","LC to LC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-2M5P","B07GVNTVJR","BTPLCULCU-0DDF-2M5P","X00115KJ2P","30","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-1M5P-30MB","B07GVNXHFP","BTPSCUSCU-0DDF-1M5P","BTPSCUSCU-0DDF-1M5P","X001VKRILD","SC to SC Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-1M5P","B07GVNXHFP","BTPSCUSCU-0DDF-1M5P","X00110ID5P","30","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-2M5P-30MB","B07GVP3JNP","BTPSCUSTU-0DDF-2M5P","BTPSCUSTU-0DDF-2M5P","X001VKF24X","SC to ST Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-2M5P","B07GVP3JNP","BTPSCUSTU-0DDF-2M5P","X00113ON5L","30","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-1M5P-30MB","B07GVPD8DQ","BTPLCUSTU-0DDF-1M5P","BTPLCUSTU-0DDF-1M5P","X001VKGSBJ","LC to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-1M5P","B07GVPD8DQ","BTPLCUSTU-0DDF-1M5P","X00115KIV7","30","","","","","","","","","","","","","",""
"BTPSCUSTU-0DDF-1M5P-30MB","B07GVQ7TKT","BTPSCUSTU-0DDF-1M5P","BTPSCUSTU-0DDF-1M5P","X001VKGSCX","SC to ST Fiber Patch Cable Single Mode Duplex - 1m (3.28ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSTU-0DDF-1M5P","B07GVQ7TKT","BTPSCUSTU-0DDF-1M5P","X00115KIZ3","30","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-2M5P-30MB","B07GVQJ2N9","BTPLCUSCU-0DDF-2M5P","BTPLCUSCU-0DDF-2M5P","X001VKFAGX","LC to SC Fiber Patch Cable Single Mode Duplex - 2m (6.56ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-2M5P","B07GVQJ2N9","BTPLCUSCU-0DDF-2M5P","X00113ON33","30","","","","","","","","","","","","","",""
"BTPLCUSCU-0DDF-3M5P-20MB","B07GVLY21R","BTPLCUSCU-0DDF-3M5P","BTPLCUSCU-0DDF-3M5P","X001VKFF09","LC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSCU-0DDF-3M5P","B07GVLY21R","BTPLCUSCU-0DDF-3M5P","X00116QCEN","20","","","","","","","","","","","","","",""
"BTPLCULCU-0DDF-3M5P-20MB","B07GVNQ61J","BTPLCULCU-0DDF-3M5P","BTPLCULCU-0DDF-3M5P","X001VKGGPH","LC to LC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCULCU-0DDF-3M5P","B07GVNQ61J","BTPLCULCU-0DDF-3M5P","X00110IHLF","20","","","","","","","","","","","","","",""
"BTPSCUSCU-0DDF-3M5P-20MB","B07GVP2BHC","BTPSCUSCU-0DDF-3M5P","BTPSCUSCU-0DDF-3M5P","X001VKGSC3","SC to SC Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPSCUSCU-0DDF-3M5P","B07GVP2BHC","BTPSCUSCU-0DDF-3M5P","X00116QCNJ","20","","","","","","","","","","","","","",""
"BTPLCUSTU-0DDF-3M5P-20MB","B07GVQ3HDQ","BTPLCUSTU-0DDF-3M5P","BTPLCUSTU-0DDF-3M5P","X001VKF239","LC to ST Fiber Patch Cable Single Mode Duplex - 3m (9.84ft) - 9/125um OS1 (5 Pack) - Beyondtech PureOptics Cable Series","BTPLCUSTU-0DDF-3M5P","B07GVQ3HDQ","BTPLCUSTU-0DDF-3M5P","X00111ZDS9","20","","","","","","","","","","","","","",""
